Test Name,Section #,Section Name,Test ID,Function Block,Test Type,Category,Method,IUT,Test Purpose / Requirement,Initial Conditions,Test Steps,Example Test Input,Example Test Output,Success Criteria,Warning Criteria,Failure Criteria,Result,Comments,Include Test (tb deleted),DMD Test,CMD Test,,New IDs
ApplicationInformation,REQ.21.4,,APP001,FB_99,,Application,,,,,,,,,,,,,,,,,
Subscription,REQ.21.4,,BAT001,FB_99,Positive,Batch,Test,,,,,,,,,,,,,,,,
Notification,REQ.21.4,,BAT002,FB_99,Positive,Batch,Test,,,,,,,,,,,,,,,,
Deliver (Push),REQ.21.4,,BAT003,FB_99,Positive,Batch,Test,,,,,,,,,,,,,,,,
Receive (Pull),REQ.21.4,,BAT004,FB_99,Positive,Batch,Test,,,,,,,,,,,,,,,,
Invalid input,,,CDPTN001,FB_20,Negative,Format,Demonstration,Client,Check that the client application processes incorrectly formatted XML,,"Load an incorrectly formatted XML instance into the client application, verify that errors are generated.",,,,,,,,,,,,
Incorrect entries,,,CDPTN002,FB_20,Negative,Format,Demonstration,Client,Check  that the client application shall process file with incorrect entries,,"Load an XML instance with incorrect entries into the client application, verify that errors or warnings are generated.",,,,,,,,,,,,
Invalid data types,,,CDPTN003,FB_20,Negative,Format,Demonstration,Client,Check that the client application shall process file with invalid data types ,,"Load an XML instance with invalid data types into the client application, verify that errors or warnings are generated.",,,,,,,,,,,,
Incorrect data units,,,CDPTN004,FB_20,Negative,Format,Demonstration,Client,Check that the client application shall process incorrect data units.,,"Load an XML instance with invalid data units into the client application, verify that errors or warnings are generated.",,,,,,,,,,,,
Invalid data ranges,,,CDPTN005,FB_20,Negative,Format,Demonstration,Client,Check client application correctly process invalid data ranges ,,"Load an XML instance with invalid data ranges into the client application, verify that errors or warnings are generated.",,,,,,,,,,,,
Invalid links,,,CDPTN006,FB_20,Negative,Format,Demonstration,Client,Check  that client application correctly processes links that point to invalid entries.,,"Load an XML instance with links to undefined objects into the client application, verify that errors or warnings are generated.",,,,,,,,,,,,
Correct Date Representations,,,CDPTN007,FB_20,Positive,Format,Test,Client,Check that the client appication shall process file with correct date representations,,Load an XML instance with correct date representations and verify no errors are generated,,,,,,,,,,,,
Invalid Date Representations,,,CDPTN008,FB_20,Negative,Format,Test,Client,Check that client appication correctly processes invalid date representations,,Load an XML instance with invalid date representations and verify that errors or warnings are generated,,,,,,,,,,,,
Correct timestamps,,,CDPTP001,FB_20,Positive,,Analysis,Client,"Check client ability to handle multiple meter readings (different reading types, if possible?)",,,,,,,,,,,,,,
Missing intervals,,,CDPTP002,FB_20,Positive,,Analysis,Client,Check client ability to handle missing intervals,,,,,,,,,,,,,,
Default interval length,,,CDPTP003,FB_20,Positive,,Test,Client,"Check client ability to handle default (ReadingType) intervalLength, with subsequent IntervalReadings having only value",,,,,,,,,,,,,,
Valid input,,,CDPTP004,FB_20,Positive,Format,Test,Client,Check that the client application processes correctly formatted XML as described by the current approved version of espi.xsd,,"Load a correctly formatted XML instance into the client application, verify that the data is accessible and no errors are generated.",,,,,,,,,,,,
Correct entries,,,CDPTP005,FB_20,Positive,Format,Demonstration,Client,Check  that the client application shall process file with correct entries,,"Load a correctly formatted XML instance with correct entries into the client application, verify that the data is accessible and no errors are generated.",,,,,,,,,,,,
Correct data types,,,CDPTP006,FB_20,Positive,Format,Demonstration,Client,Check that the client application shall process file with valid data types ,,"Load a correctly formatted XML instance with valid data types into the client application, verify that the data is accessible and no errors are generated.",,,,,,,,,,,,
Correct data units,,,CDPTP007,FB_20,Positive,Format,Demonstration,Client,Check that the client application shall process correct data units.,,"Load a correctly formatted XML instance with correct data units into the client application, verify that the data is accessible and no errors are generated.",,,,,,,,,,,,
Correct data ranges,,,CDPTP008,FB_20,Positive,Format,Analysis,Client,Check that client application correctly process data ranges ,,"Load a correctly formatted XML instance into the client application, verify that the data is accessible, data ranges are correct, and no errors are generated.",,,,,,,,,,,,
Valid links,,,CDPTP009,FB_20,Positive,Format,Test,Client,Check that client application correctly processes links that point to contained entries.,,"Load a fully valid XML instance into the client application, verify that the data is accessible, associations between objects are correct, and no errors are generated.",,,,,,,,,,,,
Present required components,,,CDPTP010,FB_20,Positive,Format,Analysis,Client,Check that client application correctly process timestamps ,,"Load a fully valid XML instance into the client application, verify that the data is accessible, timestamps are correct, and no errors are generated.",,,,,,,,,,,,
Unique UUIDs,,,CDPTP011,FB_20,Positive,,Test,Client,Check client ability to handle multiple usage points,,,,,,,,,,,,,,
Configure Third Party,,,CONF001,FB_13,Positive,Security,Demonstration,Both,Verify ability to authorize and configure a third party,,"1. Third party provides application information to data custodian, either manually or using ",,,,,,,,,,,,
Verify Data Custodian Purchase of Standard,,,CPYRT001,FB_01,Positive,Information,Inspection,Both,Verify the implementer has purchased the NAESB ESPI standard.,,"1.  Obtain the current ""NAESB Copyright Policy and Companies with Access to NAESB Standard at http://www.naesb.org/pdf2/copyright.pdf. 
2.  Locate implementer's name on the North American Energy Standards Board's (NAESB) ""Companies with Access to NAESB Standards"" report.
3.  Verify the ""Retail Version(s)"" column of the report's ""Standard Products"" section contains evidence of implementer having purchased the NAESB ESPI 1.0 Standard [column includes  the ""2.0"" version | ""Final Action (ESPI): 2011 Retail API 8c/R10008"" | ""REQ.21 (ESPI""].",,,"Implementer's purchase of NAESB ESPI Standard is witnessed and verified using the NAESB ""Companies with Access to NAESB Standards"" report by tester.",,"Implementer's name does not appear on the NAESB ""Companies with Access to NAESB Standards"" report or if it appears the ""Retail Version(s)"" column of the ""Standard Products"" section does not indicate the implementer has purchased the NAESB ESPI Standard.",,,,X,X,,
Verify Third Party Purchase of Standard,,,CPYRT002,FB_20,Positive,,Inspection,Both,Verify the implementer has purchased the NAESB ESPI standard.,,"1.  Locate implementer's name on the North American Energy Standards Board's (NAESB) ""Companies with Access to NAESB Standards"" report.
2.  Verify the ""Retail Version(s)"" column of the report's ""Standard Products"" section contains evidence of implementer having purchased the NAESB ESPI 1.0 Standard [column contains ""1.0-2.0"" | ""Final Action (ESPI): 2011 Retail API 8c/R10008"" | ""REQ.21 (ESPI""]",,,"Implementer's purchase of NAESB ESPI Standard is witnessed and verified using the NAESB ""Companies with Access to NAESB Standards"" report by tester.",,"Implementer's name does not appear on the NAESB ""Companies with Access to NAESB Standards"" report or if it appears the ""Retail Version(s)"" column of the ""Standard Products"" section does not indicate the implementer has purchased the NAESB ESPI Standard.",,,,,X,,
feed,REQ.21.4,,D000,FB_01,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/
TEST:atom:feed",1hrLP_32DaysM.xml,,,,RemoveEntry:atom:feed,,,X,X,X,,
feed id,REQ.21.4,,D001,FB_01,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed
TEST:atom:id",1hrLP_32Days.xml,,,,RemoveEntry:atom:feed/atom:id,,,X,X,X,,
feed title,REQ.21.4,,D002,FB_01,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed
TEST:atom:title",1hrLP_32Days.xml,Name of the dataset (human readable),,,RemoveEntry:atom:feed/atom:title,,,X,X,X,,
feed updated,REQ.21.4,,D003,FB_01,Positive,Data Element,Test,Both,verify the presence of a valid value,,"CONTEXT:/atom:feed
TEST:atom:updated",1hrLP_32Days.xml,Date / time of request,,,RemoveEntry:atom:feed/atom:updated,,,X,X,X,,
entry id's (URNs),REQ.21.4,,D004,FB_01,Positive,Data Element,Test,Both,verify the uniqueness ,,"CONTEXT:/atom:feed/atom:entry
TEST:count(/atom:feed/atom:entry[atom:id = current()/atom:id])>0",1hrLP_32Days.xml,,,,Duplicate:atom:feed/atom:entry[1],,,X,X,X,,
